"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"5446","NK","PMC10559315","Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci","NIHMS1928283-supplement-3.xls","1241_Hyperprolif_6-DAP-linked_genes",1398,84,2.02,3.04e-10,2.5e-07,"NIHMS1928283-supplement-3 $ 1241_Hyperprolif_6-DAP-linked_genes",2
"5447","NK","PMC6886578","Histone hyperacetylation disrupts core gene regulatory architecture in rhabdomyosarcoma","NIHMS1541485-supplement-3.xlsx","SuppTable2-GeneSets-Unnamed_8",553,46,2.8,3.05e-10,2.5e-07,"NIHMS1541485-supplement-3 $ SuppTable2-GeneSets-Unnamed_8",1
"5448","NK","PMC9767677","Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","mmc5.xlsx","CD8-gene",553,46,2.8,3.05e-10,2.5e-07,"mmc5 $ CD8-gene",1
"5449","CD4 Naive","PMC8554124","A Systematic Review of Transcriptional Dysregulation in Huntington’s Disease Studied by RNA Sequencing","DataSheet6.XLSX","9-SLC30A9",1592,116,1.79,2.4e-10,2.53e-07,"DataSheet6.XLSX $ 9-SLC30A9",1
"5450","CD4 Naive","PMC8766575","Genome-wide perturbations of Alu expression and Alu-associated post-transcriptional regulations distinguish oligodendroglioma from other gliomas","42003_2022_3011_MOESM6_ESM.xlsx","Sheet1-Gene_name",958,81,2.07,2.4e-10,2.53e-07,"42003_2022_3011_MOESM6_ESM $ Sheet1-Gene_name",1
"5451","CD4 Naive","PMC6367716","Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution","NIHMS1516330-supplement-7.xlsx","foreskin_immune-Unnamed_0",1745,124,1.74,2.44e-10,2.56e-07,"NIHMS1516330-supplement-7 $ foreskin_immune-Unnamed_0",1
"5452","CD4 Naive","PMC5935738","LncRNA OIP5-AS1 is overexpressed in undifferentiated oral tumors and integrated analysis identifies as a downstream effector of stemness-associated transcription factors","41598_2018_25451_MOESM2_ESM.xlsx","Sheet1-Unnamed_2",2277,151,1.63,2.45e-10,2.56e-07,"41598_2018_25451_MOESM2_ESM $ Sheet1-Unnamed_2",1
"5453","CD4 Naive","PMC7822815","RUNX1/RUNX1T1 mediates alternative splicing and reorganises the transcriptional landscape in leukemia","41467_2020_20848_MOESM13_ESM.xlsx","Supplementary_Data_10-Unnamed_27",1259,98,1.91,2.45e-10,2.57e-07,"41467_2020_20848_MOESM13_ESM $ Supplementary_Data_10-Unnamed_27",1
"5454","NK","PMC5063315","Induced Human Decidual NK-Like Cells Improve Utero-Placental Perfusion in Mice","pone.0164353.s004.xlsx","pNKCD56Dimvs_dNK_and_idNK_CD56D-Gene_Symbol",696,53,2.56,3.2e-10,2.62e-07,"pone.0164353.s004 $ pNKCD56Dimvs_dNK_and_idNK_CD56D-Gene_Symbol",2
"5455","CD4 Naive","PMC3501222","RUNX1 reshapes the epigenetic landscape at the onset of haematopoiesis","emboj2012275s2.xls","ckit_SCL_FLI1_genes-Genes_bound_by_SCL_TAL1_and_Fli1_in_ckit_cells",2440,159,1.6,2.51e-10,2.63e-07,"emboj2012275s2 $ ckit_SCL_FLI1_genes-Genes_bound_by_SCL_TAL1_and_Fli1_in_ckit_cells",2
"5456","CD4 Naive","PMC8374152","Dual Transcriptomic Analyses Unveil Host–Pathogen Interactions Between Salmonella enterica Serovar Enteritidis and Laying Ducks (Anas platyrhynchos)","Table_5.XLSX","T_0h-vs-T_9h_genes_filter_annot-Unnamed_9",2481,161,1.59,2.53e-10,2.63e-07,"Table_5.XLSX $ T_0h-vs-T_9h_genes_filter_annot-Unnamed_9",1
"5457","CD4 Naive","PMC5609842","Stratified ubiquitination of RIG-I creates robust immune response and induces selective gene expression","1701764_Excel1.xlsx","Sheet1-Top_2000_FPKM_in_Figure_S",1804,127,1.73,2.54e-10,2.64e-07,"1701764_Excel1 $ Sheet1-Top_2000_FPKM_in_Figure_S",1
"5458","CD4 Naive","PMC5609842","Stratified ubiquitination of RIG-I creates robust immune response and induces selective gene expression","1701764_Excel2.xlsx","Sheet1-Top_2000_Log2FC_value_in_Figure_S",1804,127,1.73,2.54e-10,2.64e-07,"1701764_Excel2 $ Sheet1-Top_2000_Log2FC_value_in_Figure_S",1
"5459","NK","PMC8386078","Acute depletion of CTCF rewires genome-wide chromatin accessibility","13059_2021_2466_MOESM5_ESM.xlsx","InsulatorTargets-Unnamed_20",2108,112,1.79,3.24e-10,2.65e-07,"13059_2021_2466_MOESM5_ESM $ InsulatorTargets-Unnamed_20",2
"5460","NK","PMC7721881","Improving the informativeness of Mendelian disease-derived pathogenicity scores for common disease","41467_2020_20087_MOESM11_ESM.xlsx","Supplementary_Data_8B-MohammadiVg_SKINS",1400,84,2.02,3.26e-10,2.66e-07,"41467_2020_20087_MOESM11_ESM $ Supplementary_Data_8B-MohammadiVg_SKINS",1
"5461","NK","PMC6689091","PAK4 suppresses RELB to prevent senescence-like growth arrest in breast cancer","41467_2019_11510_MOESM8_ESM.xlsx","Significant_Hs578T_-_NFkB-Gene_Name",2161,114,1.77,3.27e-10,2.67e-07,"41467_2019_11510_MOESM8_ESM $ Significant_Hs578T_-_NFkB-Gene_Name",2
"5462","NK","PMC7906381","Deciphering microRNA-mRNA regulatory network in adult T-cell leukemia/lymphoma; the battle between oncogenes and anti-oncogenes","pone.0247713.s001.xlsx","DEGs-Unnamed_0",2109,112,1.79,3.33e-10,2.71e-07,"pone.0247713.s001 $ DEGs-Unnamed_0",3
"5463","NK","PMC4952232","Identification of baseline gene expression signatures predicting therapeutic responses to three biologic agents in rheumatoid arthritis: a retrospective observational study","13075_2016_1052_MOESM2_ESM.xlsx","Additional_file_1-Unnamed_4",63,15,8.01,3.37e-10,2.74e-07,"13075_2016_1052_MOESM2_ESM $ Additional_file_1-Unnamed_4",1
"5464","NK","PMC2680378","A HaemAtlas: characterizing gene expression in differentiated human blood cells","blood-2008-06-162958_TableS5.xls","specific-CD56-External_Gene_ID",63,15,8.01,3.37e-10,2.74e-07,"blood-2008-06-162958_TableS5 $ specific-CD56-External_Gene_ID",1
"5465","NK","PMC9800255","Depletion of HIV reservoir by activation of ISR signaling in resting CD4+ T cells","mmc2.xlsx","Cluster3-gene",1163,74,2.14,3.38e-10,2.74e-07,"mmc2 $ Cluster3-gene",2
"5466","CD4 Naive","PMC7805430","Disease severity-specific neutrophil signatures in blood transcriptomes stratify COVID-19 patients","13073_2020_823_MOESM9_ESM.xlsx","G5_vs_G6_downDEGs-Table_SX_G5_vs_G6_downDEGs",629,61,2.38,2.65e-10,2.75e-07,"13073_2020_823_MOESM9_ESM $ G5_vs_G6_downDEGs-Table_SX_G5_vs_G6_downDEGs",1
"5467","CD4 Naive","PMC10559315","Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci","NIHMS1928283-supplement-2.xls","Pred_Genes_Success_not_Resting-predicted_linked_genes",1482,110,1.82,2.67e-10,2.77e-07,"NIHMS1928283-supplement-2 $ Pred_Genes_Success_not_Resting-predicted_linked_genes",2
"5468","NK","PMC9338059","KOPI: Kinase inhibitOr Proteome Impact analysis","41598_2022_16557_MOESM6_ESM.xlsx","PhosphoResponseInProtein-geneName",1825,101,1.86,3.42e-10,2.78e-07,"41598_2022_16557_MOESM6_ESM $ PhosphoResponseInProtein-geneName",1
"5469","CD4 Naive","PMC4935966","Patients with genetically heterogeneous synchronous colorectal cancer carry rare damaging germline mutations in immune-related genes","ncomms12072-s4.xlsx","UH6T2-Gene",875,76,2.13,2.7e-10,2.8e-07,"ncomms12072-s4 $ UH6T2-Gene",1
"5470","CD4 Naive","PMC7959740","Persistent T Cell Repertoire Perturbation and T Cell Activation in HIV After Long Term Treatment","Table_2.xlsx","Sheet1-Gene_composition_of_the_T_cell_type_1_IFN_signature",159,27,4.16,2.72e-10,2.81e-07,"Table_2 $ Sheet1-Gene_composition_of_the_T_cell_type_1_IFN_signature",1
"5471","NK","PMC8093261","Single-cell profiling reveals the trajectories of natural killer cell differentiation in bone marrow and a stress signature induced by acute myeloid leukemia","41423_2020_574_MOESM9_ESM.xlsx","Table_1E-Unnamed_0",84,17,6.81,3.47e-10,2.81e-07,"41423_2020_574_MOESM9_ESM $ Table_1E-Unnamed_0",1
"5472","NK","PMC9716034","Immune mechanism of low bone mineral density caused by ankylosing spondylitis based on bioinformatics and machine learning","Table2.XLSX","AS-related_DEGs",2006,108,1.81,3.48e-10,2.81e-07,"Table2.XLSX $ AS-related_DEGs",1
"5473","CD4 Naive","PMC4640868","Integrative Genomics Implicates EGFR as a Downstream Mediator in NKX2-1 Amplified Non-Small Cell Lung Cancer","pone.0142061.s001.xlsx","Table_K-Unnamed_4",1729,123,1.74,2.74e-10,2.82e-07,"pone.0142061.s001 $ Table_K-Unnamed_4",1
"5474","CD4 Naive","PMC10011423","Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences","42003_2023_4623_MOESM5_ESM.xlsx","Fetal_Memory_CD4_T_Cells-Gene",320,40,3.07,2.75e-10,2.83e-07,"42003_2023_4623_MOESM5_ESM $ Fetal_Memory_CD4_T_Cells-Gene",1
"5475","CD4 Naive","PMC8506969","NRF3 upregulates gene expression in SREBP2-dependent mevalonate pathway with cholesterol uptake and lipogenesis inhibition","mmc3.xlsx","Table_S2-Unnamed_2",2484,161,1.59,2.77e-10,2.84e-07,"mmc3 $ Table_S2-Unnamed_2",1
"5476","NK","PMC4487811","Identification of a Dynamic Core Transcriptional Network in t(8;21) AML that Regulates Differentiation Block and Self-Renewal","mmc2.xlsx","siMM_enriched_geneLists-Occupancy_pattern_genes_lists_that_are_enriched_with_up_down_regulated_genes",332,34,3.44,3.51e-10,2.84e-07,"mmc2 $ siMM_enriched_geneLists-Occupancy_pattern_genes_lists_that_are_enriched_with_up_down_regulated_genes",1
"5477","CD4 Naive","PMC8989655","Type I Interferon Transcriptional Network Regulates Expression of Coinhibitory Receptors in Human T cells","NIHMS1777806-supplement-Source_Data_Fig__2.xlsx","Figure_2a-Unnamed_10",1691,121,1.75,2.77e-10,2.85e-07,"NIHMS1777806-supplement-Source_Data_Fig__2 $ Figure_2a-Unnamed_10",4
"5478","NK","PMC9338059","KOPI: Kinase inhibitOr Proteome Impact analysis","41598_2022_16557_MOESM5_ESM.xlsx","PhosphoResponse37C-geneName",1826,101,1.86,3.53e-10,2.85e-07,"41598_2022_16557_MOESM5_ESM $ PhosphoResponse37C-geneName",1
"5479","CD4 Naive","PMC9052922","Characterization of GECPAR, a noncoding RNA that regulates the transcriptional program of diffuse large B-cell lymphoma","2020_267096_NAPOLI_TABS8_SUPPL.xlsx","Common_Genes_MACS_SPP_U2932_toI-SYMBOL",2241,149,1.63,2.8e-10,2.86e-07,"2020_267096_NAPOLI_TABS8_SUPPL $ Common_Genes_MACS_SPP_U2932_toI-SYMBOL",1
"5480","CD4 Naive","PMC9722937","Single-cell sequencing shows cellular heterogeneity of cutaneous lesions in lupus erythematosus","41467_2022_35209_MOESM12_ESM.xlsx","dermis-Unnamed_7",1013,84,2.03,2.8e-10,2.86e-07,"41467_2022_35209_MOESM12_ESM $ dermis-Unnamed_7",3
"5481","CD4 Naive","PMC10514084","Sézary syndrome originates from heavily mutated hematopoietic progenitors","BLOODA_ADV-2022-008562-mmc3.xlsx","Effector-gene",710,66,2.28,2.81e-10,2.87e-07,"BLOODA_ADV-2022-008562-mmc3 $ Effector-gene",3
"5482","NK","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM4_ESM.xlsx","Super_enhancers_in_AML7-OVERLAP_GENES",249,29,3.92,3.58e-10,2.88e-07,"13046_2022_2428_MOESM4_ESM $ Super_enhancers_in_AML7-OVERLAP_GENES",1
"5483","NK","PMC7050134","Epigenome-wide meta-analysis of blood DNA methylation in newborns and children identifies numerous loci related to gestational age","13073_2020_716_MOESM1_ESM.xlsx","Table_S16-Unnamed_3",2297,119,1.74,3.58e-10,2.88e-07,"13073_2020_716_MOESM1_ESM $ Table_S16-Unnamed_3",2
"5484","CD4 Naive","PMC8889743","Characterization of distinct circular RNA signatures in solid tumors","12943_2022_1546_MOESM10_ESM.xlsx","Table_S14-Unnamed_6",859,75,2.14,2.83e-10,2.89e-07,"12943_2022_1546_MOESM10_ESM $ Table_S14-Unnamed_6",1
"5485","CD4 Naive","PMC5935738","LncRNA OIP5-AS1 is overexpressed in undifferentiated oral tumors and integrated analysis identifies as a downstream effector of stemness-associated transcription factors","41598_2018_25451_MOESM2_ESM.xlsx","Sheet1-Unnamed_3",2302,152,1.62,2.85e-10,2.9e-07,"41598_2018_25451_MOESM2_ESM $ Sheet1-Unnamed_3",1
"5486","CD4 Naive","PMC10565639","Single‐cell profiling of muscle‐infiltrating T cells in idiopathic inflammatory myopathies","EMMM-15-e17240-s003.xlsx","Data_Set_EV2-Data_Set_EV2_Differentially_expressed_genes_per_cluster_in_muscle_T_cells_from_patients_with_idiopathic_inflammatory_myopathies",2378,155,1.61,2.87e-10,2.92e-07,"EMMM-15-e17240-s003 $ Data_Set_EV2-Data_Set_EV2_Differentially_expressed_genes_per_cluster_in_muscle_T_cells_from_patients_with_idiopathic_inflammatory_myopathies",5
"5487","CD4 Naive","PMC10011506","Risk modeling of single-cell transcriptomes reveals the heterogeneity of immune infiltration in hepatocellular carcinoma","mmc10.xlsx","Time_diff_all_CD8_Class_I-external_gene_name",2023,138,1.67,2.91e-10,2.94e-07,"mmc10 $ Time_diff_all_CD8_Class_I-external_gene_name",3
"5488","CD4 Naive","PMC10011506","Risk modeling of single-cell transcriptomes reveals the heterogeneity of immune infiltration in hepatocellular carcinoma","mmc10.xlsx","Time_diff_all_CD8_Class_I-ensembl_gene_id",2023,138,1.67,2.91e-10,2.94e-07,"mmc10 $ Time_diff_all_CD8_Class_I-ensembl_gene_id",3
"5489","CD4 Naive","PMC10011506","Risk modeling of single-cell transcriptomes reveals the heterogeneity of immune infiltration in hepatocellular carcinoma","mmc15.xlsx","CD8_Class_I-external_gene_name",2023,138,1.67,2.91e-10,2.94e-07,"mmc15 $ CD8_Class_I-external_gene_name",3
"5490","CD4 Naive","PMC4618389","The first whole genome and transcriptome of the cinereous vulture reveals adaptation in the gastric and immune defense systems and possible convergent evolution between the Old and New World vultures","13059_2015_780_MOESM1_ESM.xlsx","TableS21-Table_S21_Gene_expression_in_the_cinereous_vulture_compared_to_the_other_avian_species",1750,124,1.74,2.92e-10,2.94e-07,"13059_2015_780_MOESM1_ESM $ TableS21-Table_S21_Gene_expression_in_the_cinereous_vulture_compared_to_the_other_avian_species",1
"5491","CD4 Naive","PMC6224081","Substrate-independent immunomodulatory characteristics of mesenchymal stem cells in three-dimensional culture","pone.0206811.s005.xlsx","collagen-3D-UP-KEGG-Unnamed_5",1084,88,1.99,2.92e-10,2.94e-07,"pone.0206811.s005 $ collagen-3D-UP-KEGG-Unnamed_5",1
"5492","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","ROC_mono-Unnamed_0",1853,102,1.85,3.68e-10,2.94e-07,"12859_2022_4817_MOESM4_ESM $ ROC_mono-Unnamed_0",4
"5493","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","Ttest_mono-Unnamed_0",1853,102,1.85,3.68e-10,2.94e-07,"12859_2022_4817_MOESM4_ESM $ Ttest_mono-Unnamed_0",4
"5494","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","Wilcox_mono-Unnamed_0",1853,102,1.85,3.68e-10,2.94e-07,"12859_2022_4817_MOESM4_ESM $ Wilcox_mono-Unnamed_0",4
"5495","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","LR_mono-Unnamed_0",1853,102,1.85,3.68e-10,2.94e-07,"12859_2022_4817_MOESM4_ESM $ LR_mono-Unnamed_0",4
"5496","NK","PMC9281170","Detection of cell markers from single cell RNA-seq with sc2marker","12859_2022_4817_MOESM4_ESM.xlsx","MAST_mono-Unnamed_0",1853,102,1.85,3.68e-10,2.94e-07,"12859_2022_4817_MOESM4_ESM $ MAST_mono-Unnamed_0",4
"5497","CD4 Naive","PMC4391141","Changes in cellular microRNA expression induced by porcine circovirus type 2-encoded proteins","13567_2015_172_MOESM10_ESM.xls","Additional_file_10-Unnamed_7",1227,96,1.92,2.94e-10,2.96e-07,"13567_2015_172_MOESM10_ESM $ Additional_file_10-Unnamed_7",1
"5498","NK","PMC7931910","The Human Blood Transcriptome in a Large Population Cohort and Its Relation to Aging and Health","Data_Sheet_3.xlsx","H-Symbol",203,26,4.31,3.74e-10,2.99e-07,"Data_Sheet_3 $ H-Symbol",1
"5499","NK","PMC7854640","Tumour heterogeneity and intercellular networks of nasopharyngeal carcinoma at single cell resolution","41467_2021_21043_MOESM8_ESM.xlsx","Supplementary_Data_5-Unnamed_1",2460,125,1.71,3.76e-10,3e-07,"41467_2021_21043_MOESM8_ESM $ Supplementary_Data_5-Unnamed_1",4
"5500","NK","PMC9971904","Single-cell RNA-seq analysis reveals dual sensing of HIV-1 in blood Axl+ dendritic cells","mmc2.xlsx","AxlDC_AD8vpx_vs_AxlDC_mock-gene_name",1931,105,1.83,3.77e-10,3e-07,"mmc2 $ AxlDC_AD8vpx_vs_AxlDC_mock-gene_name",1
"5501","NK","PMC7417788","A human circulating immune cell landscape in aging and COVID-19","13238_2020_762_MOESM2_ESM.xls","Supplementary_Table_13C-Unnamed_1",915,63,2.32,3.77e-10,3e-07,"13238_2020_762_MOESM2_ESM $ Supplementary_Table_13C-Unnamed_1",3
"5502","NK","PMC9509601","Intratumor heterogeneity and T cell exhaustion in primary CNS lymphoma","13073_2022_1110_MOESM12_ESM.xlsx","Sheet1-gene",1453,86,1.99,3.78e-10,3.01e-07,"13073_2022_1110_MOESM12_ESM $ Sheet1-gene",1
"5503","NK","PMC2743717","Weighted gene co-expression network analysis of the peripheral blood from Amyotrophic Lateral Sclerosis patients","1471-2164-10-405-S1.xls","Top_2300-Gene_Symbol",2009,108,1.81,3.79e-10,3.01e-07,"1471-2164-10-405-S1 $ Top_2300-Gene_Symbol",1
"5504","CD4 Naive","PMC10265985","Glial dysregulation in the human brain in fragile X-associated tremor/ataxia syndrome","pnas.2300052120.sd13.xlsx","OL_I-GeneId",1485,110,1.82,3.01e-10,3.02e-07,"pnas.2300052120.sd13 $ OL_I-GeneId",1
"5505","NK","PMC7611047","Peripheral CD8+ T cell characteristics associated with durable responses to immune checkpoint blockade in patients with metastatic melanoma","EMS85150-supplement-Supplementary_tables.xlsx","Table_9_large_clone_genes-gene",234,28,4.02,3.87e-10,3.07e-07,"EMS85150-supplement-Supplementary_tables $ Table_9_large_clone_genes-gene",1
"5506","NK","PMC9509601","Intratumor heterogeneity and T cell exhaustion in primary CNS lymphoma","13073_2022_1110_MOESM6_ESM.xlsx","Tc-gene",1261,78,2.08,3.9e-10,3.09e-07,"13073_2022_1110_MOESM6_ESM $ Tc-gene",1
"5507","NK","PMC8728943","Integrative blood-derived epigenetic and transcriptomic analysis reveals the potential regulatory role of DNA methylation in ankylosing spondylitis","13075_2021_2697_MOESM3_ESM.xlsx","supplementary_data_S1-Unnamed_10",2010,108,1.81,3.9e-10,3.09e-07,"13075_2021_2697_MOESM3_ESM $ supplementary_data_S1-Unnamed_10",3
"5508","CD4 Naive","PMC4391141","Changes in cellular microRNA expression induced by porcine circovirus type 2-encoded proteins","13567_2015_172_MOESM10_ESM.xls","Additional_file_10-Unnamed_8",2224,148,1.63,3.09e-10,3.1e-07,"13567_2015_172_MOESM10_ESM $ Additional_file_10-Unnamed_8",1
"5509","NK","PMC4580625","The Relationship of Immune Cell Signatures to Patient Survival Varies within and between Tumor Types","pone.0138726.s006.xlsx","Immune_molecular_modules-XCL2_mod",96,18,6.31,3.94e-10,3.11e-07,"pone.0138726.s006 $ Immune_molecular_modules-XCL2_mod",1
"5510","NK","PMC4580625","The Relationship of Immune Cell Signatures to Patient Survival Varies within and between Tumor Types","pone.0138726.s006.xlsx","Immune_molecular_modules-NCR1_mod",96,18,6.31,3.94e-10,3.11e-07,"pone.0138726.s006 $ Immune_molecular_modules-NCR1_mod",1
"5511","NK","PMC6787028","N6-methyladenosine mRNA marking promotes selective translation of regulons required for human erythropoiesis","41467_2019_12518_MOESM5_ESM.xlsx","CD14-gencode_v19_KNOWN",850,60,2.37,3.96e-10,3.12e-07,"41467_2019_12518_MOESM5_ESM $ CD14-gencode_v19_KNOWN",2
"5512","CD4 Naive","PMC7076158","Circular RNA-Expression Profiling Reveals a Potential Role of Hsa_circ_0097435 in Heart Failure via Sponging Multiple MicroRNAs","Table_1.XLS","T05_CIRI_Predict-Symbol",2488,161,1.59,3.12e-10,3.13e-07,"Table_1.XLS $ T05_CIRI_Predict-Symbol",4
"5513","NK","PMC9391397","Vasculogenesis in kidney organoids upon transplantation","41536_2022_237_MOESM9_ESM.xlsx","Endothelial_cells-gene",1703,96,1.9,3.98e-10,3.13e-07,"41536_2022_237_MOESM9_ESM $ Endothelial_cells-gene",3
"5514","NK","PMC9546237","Whole blood transcriptomic profiling identifies molecular pathways related to cardiovascular mortality in heart failure","EJHF-24-1009-s001.xlsx","Supplemental_Table_1-ENSG_FC_5",1144,73,2.15,3.99e-10,3.14e-07,"EJHF-24-1009-s001 $ Supplemental_Table_1-ENSG_FC_5",2
"5515","NK","PMC4487811","Identification of a Dynamic Core Transcriptional Network in t(8;21) AML that Regulates Differentiation Block and Self-Renewal","mmc3.xlsx","siRE_enriched_geneLists-Unnamed_15",2011,108,1.81,4.01e-10,3.15e-07,"mmc3 $ siRE_enriched_geneLists-Unnamed_15",4
"5516","CD4 Naive","PMC5011717","Disease-specific classification using deconvoluted whole blood gene expression","srep32976-s4.csv","down",616,60,2.39,3.16e-10,3.16e-07,"srep32976-s4.csv $ down",1
"5517","CD4 Naive","PMC9343246","Remodeling of the m6A RNA landscape in the conversion of acute lymphoblastic leukemia cells to macrophages","41375_2022_1621_MOESM14_ESM.xlsx","Dataset_S1B-Unnamed_4",1265,98,1.9,3.18e-10,3.17e-07,"41375_2022_1621_MOESM14_ESM $ Dataset_S1B-Unnamed_4",1
"5518","NK","PMC6884554","Predicting novel genomic regions linked to genetic disorders using GWAS and chromosome conformation data – a case study of schizophrenia","41598_2019_54514_MOESM2_ESM.xlsx","cluster1-Gene_symbol",2463,125,1.71,4.06e-10,3.18e-07,"41598_2019_54514_MOESM2_ESM $ cluster1-Gene_symbol",1
"5519","CD4 Naive","PMC7442652","A single-cell atlas of the human substantia nigra reveals cell-specific pathways associated with neurological disorders","41467_2020_17876_MOESM7_ESM.xlsx","Data_4-Unnamed_1",1543,113,1.8,3.21e-10,3.2e-07,"41467_2020_17876_MOESM7_ESM $ Data_4-Unnamed_1",1
"5520","CD4 Naive","PMC10344786","Single-cell analysis reveals transcriptomic and epigenomic impacts on the maternal–fetal interface following SARS-CoV-2 infection","41556_2023_1169_MOESM3_ESM.xlsx","Supplementary_Table_6-DEGs_from_all_Cell_Types_in_the_snRNA-seq",2387,156,1.6,3.22e-10,3.21e-07,"41556_2023_1169_MOESM3_ESM $ Supplementary_Table_6-DEGs_from_all_Cell_Types_in_the_snRNA-seq",1
"5521","CD4 Naive","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S43-Table_S43",1967,135,1.68,3.23e-10,3.21e-07,"41467_2022_33780_MOESM3_ESM $ Table_S43-Table_S43",5
"5522","CD4 Naive","PMC10326828","GNPNAT1 promotes the stemness of breast cancer and serves as a potential prognostic biomarker","Supplementary_Data3.xlsx","Sheet1-Table_SV_Genes_positively_correlated_with_GNPNAT1_in_BRCA_in_the_UALCAN_database",1581,115,1.78,3.24e-10,3.22e-07,"Supplementary_Data3 $ Sheet1-Table_SV_Genes_positively_correlated_with_GNPNAT1_in_BRCA_in_the_UALCAN_database",1
"5523","NK","PMC2838864","SplicerAV: a tool for mining microarray expression data for changes in RNA processing","1471-2105-11-108-S2.TXT","Unnamed_1",1934,105,1.83,4.12e-10,3.22e-07,"1471-2105-11-108-S2.TXT $ Unnamed_1",2
"5524","NK","PMC7926219","Long non‐coding RNA TINCR suppresses metastatic melanoma dissemination by preventing ATF4 translation","EMBR-22-e50852-s008.xlsx","Dataset_EV6-Dataset_EV6_Significantly_enriched_mRNAs_in_TINCR_RIA-seq_Related_to_Figure_6_and_Appendix_Figures_S3_S4_S5",2038,109,1.8,4.12e-10,3.23e-07,"EMBR-22-e50852-s008 $ Dataset_EV6-Dataset_EV6_Significantly_enriched_mRNAs_in_TINCR_RIA-seq_Related_to_Figure_6_and_Appendix_Figures_S3_S4_S5",3
"5525","NK","PMC9546237","Whole blood transcriptomic profiling identifies molecular pathways related to cardiovascular mortality in heart failure","EJHF-24-1009-s001.xlsx","Supplemental_Table_1-Symbol_1153",1145,73,2.14,4.15e-10,3.24e-07,"EJHF-24-1009-s001 $ Supplemental_Table_1-Symbol_1153",2
"5526","CD4 Naive","PMC2940846","Cooperative and individualistic functions of the microRNAs in the miR-23a~27a~24-2 cluster and its implication in human diseases","1476-4598-9-232-S2.XLS","Sheet1-Additional_File_2_Predicted_targets_of_hsa-miR-23a_hsa-miR-27a_and_hsa-miR-24_by_TargetScan",1889,131,1.7,3.27e-10,3.25e-07,"1476-4598-9-232-S2.XLS $ Sheet1-Additional_File_2_Predicted_targets_of_hsa-miR-23a_hsa-miR-27a_and_hsa-miR-24_by_TargetScan",1
"5527","CD4 Naive","PMC8632918","A DAP5/eIF3d alternate mRNA translation mechanism promotes differentiation and immune suppression by human regulatory T cells","41467_2021_27087_MOESM5_ESM.xlsx","Sheet1-Supplementary_Data_2_TGFb_treatment_-_Transcriptome",1122,90,1.97,3.29e-10,3.26e-07,"41467_2021_27087_MOESM5_ESM $ Sheet1-Supplementary_Data_2_TGFb_treatment_-_Transcriptome",1
"5528","CD4 Naive","PMC4506483","Statistically based splicing detection reveals neural enrichment and tissue-specific induction of circular RNA during human fetal development","13059_2015_690_MOESM1_ESM.xls","CIRI_Hela_InBothHighConf-gene_id",601,59,2.41,3.3e-10,3.27e-07,"13059_2015_690_MOESM1_ESM $ CIRI_Hela_InBothHighConf-gene_id",1
"5529","CD4 Naive","PMC8379183","Epigenetic control of melanoma cell invasiveness by the stem cell factor SALL4","41467_2021_25326_MOESM7_ESM.xlsx","min_3_of_4_peaks-Nearest_Ensembl",1525,112,1.8,3.31e-10,3.27e-07,"41467_2021_25326_MOESM7_ESM $ min_3_of_4_peaks-Nearest_Ensembl",1
"5530","NK","PMC7458795","Effects of Cryopreservation and Thawing on Single-Cell Transcriptomes of Human T Cells","in-20-e34-s001.xls","By_wilcox-Supplementary_Table_1_Marker_genes_for_each_cluster_from_the_fresh_sample",1263,78,2.08,4.19e-10,3.27e-07,"in-20-e34-s001 $ By_wilcox-Supplementary_Table_1_Marker_genes_for_each_cluster_from_the_fresh_sample",2
"5531","NK","PMC4196925","Copy Number Loss of the Interferon Gene Cluster in Melanomas Is Linked to Reduced T Cell Infiltrate and Poor Patient Prognosis","pone.0109760.s005.xlsx","Supp_Table_1_Genes_in_immune_mo-GZMB_mod",85,17,6.73,4.22e-10,3.29e-07,"pone.0109760.s005 $ Supp_Table_1_Genes_in_immune_mo-GZMB_mod",1
