Cell,Feature,p value,adjusted p value
CD8 TEM,TATDN3,1.32539E-12,5.94843E-11
CD8 TEM,TAF7,1.32539E-12,5.94843E-11
CD8 TEM,JUN,1.35129E-12,6.05322E-11
CD8 TEM,RNF215,1.44177E-12,6.44635E-11
CD8 TEM,LOC101929526,1.60491E-12,7.16225E-11
CD8 TEM,KCNMA1-AS3,1.76087E-12,7.84349E-11
CD8 TEM,AMN1,1.80047E-12,8.00484E-11
CD8 TEM,VAC14-AS1,2.29207E-12,1.01714E-10
CD8 TEM,ARHGAP26,2.59704E-12,1.15032E-10
CD8 TEM,CXXC4,2.96894E-12,1.31259E-10
CD8 TEM,LINC00484,3.4345E-12,1.51559E-10
CD8 TEM,DMPK,3.53461E-12,1.55687E-10
CD8 TEM,FNIP2,3.59323E-12,1.57975E-10
CD8 TEM,OSBPL7,3.71782E-12,1.6315E-10
CD8 TEM,LINC01108,3.92572E-12,1.71955E-10
CD8 TEM,PSTPIP1,3.9919E-12,1.74531E-10
CD8 TEM,VWA8-AS1,4.09846E-12,1.7886E-10
CD8 TEM,IRF2,4.38417E-12,1.90977E-10
CD8 TEM,PRR5L,4.49463E-12,1.9543E-10
CD8 TEM,RNASEH2C,6.81928E-12,2.95964E-10
CD8 TEM,CUL3,7.16317E-12,3.10321E-10
CD8 TEM,FAM167A,7.52429E-12,3.25371E-10
CD8 TEM,RNF113A,7.83216E-12,3.38067E-10
CD8 TEM,FUT9,7.86859E-12,3.39022E-10
CD8 TEM,LOC399715,7.92851E-12,3.40983E-10
CD8 TEM,CTDP1,1.0232E-11,4.39254E-10
CD8 TEM,GGT7,1.06401E-11,4.5555E-10
CD8 TEM,MRPS10,1.06501E-11,4.5555E-10
CD8 TEM,ARRDC3,1.39866E-11,5.97191E-10
CD8 TEM,ARAP3,1.40733E-11,5.9981E-10
CD8 TEM,AGPAT4,1.55224E-11,6.60383E-10
CD8 TEM,TNIP3,1.78928E-11,7.59868E-10
CD8 TEM,CELSR3,2.58132E-11,1.09427E-09
CD8 TEM,SGMS1-AS1,2.6086E-11,1.10386E-09
CD8 TEM,LPIN2,2.72874E-11,1.15264E-09
CD8 TEM,BTN3A2,2.85623E-11,1.20434E-09
CD8 TEM,ADRB2,2.97818E-11,1.25353E-09
CD8 TEM,BANP,3.29218E-11,1.38324E-09
CD8 TEM,RTL5,3.61892E-11,1.51783E-09
CD8 TEM,RPL26,3.68282E-11,1.54191E-09
CD8 TEM,IL2RB,4.17976E-11,1.74687E-09
CD8 TEM,FBXO11,4.22678E-11,1.76342E-09
CD8 TEM,MIR4465,4.25305E-11,1.77126E-09
CD8 TEM,ANKMY1,4.4869E-11,1.86537E-09
CD8 TEM,ST8SIA6,4.7509E-11,1.97166E-09
CD8 TEM,RALGAPA2,6.88891E-11,2.85396E-09
CD8 TEM,MPP7,7.58356E-11,3.13626E-09
CD8 TEM,BNIP1,7.75769E-11,3.20268E-09
CD8 TEM,LOC283683,7.82278E-11,3.22394E-09
CD8 TEM,ACSL6,7.88791E-11,3.24514E-09
CD8 TEM,SYNE2,9.26678E-11,3.8058E-09
CD8 TEM,GOLGA3,9.62489E-11,3.94604E-09
CD8 TEM,ETV1,1.01853E-10,4.16857E-09
CD8 TEM,TRIP10,1.10642E-10,4.52049E-09
CD8 TEM,LGR6,1.27317E-10,5.19282E-09
CD8 TEM,LINC00334,1.31113E-10,5.33847E-09
CD8 TEM,E2F3,1.36698E-10,5.5563E-09
CD8 TEM,NFX1,1.44783E-10,5.87488E-09
CD8 TEM,RCOR1,1.47438E-10,5.97239E-09
CD8 TEM,RAP1GAP,1.51887E-10,6.14211E-09
CD8 TEM,RNVU1-1,1.57969E-10,6.37718E-09
CD8 TEM,KAT2B,1.63362E-10,6.58364E-09
CD8 TEM,LYPLAL1-DT,1.7195E-10,6.91799E-09
CD8 TEM,GPR88,2.0095E-10,8.07104E-09
CD8 TEM,YPEL5,2.07897E-10,8.33591E-09
CD8 TEM,ZCCHC8,2.22112E-10,8.89087E-09
CD8 TEM,DNAJB12,2.38391E-10,9.52638E-09
CD8 TEM,DLEU2,2.40311E-10,9.58696E-09
CD8 TEM,ACAD11,2.71261E-10,1.08035E-08
CD8 TEM,ITPK1-AS1,2.81151E-10,1.11786E-08
CD8 TEM,SHC4,2.87297E-10,1.14038E-08
CD8 TEM,FBXW7,3.05708E-10,1.21143E-08
CD8 TEM,RTL6,3.10008E-10,1.22642E-08
CD8 TEM,TOB1-AS1,3.57671E-10,1.41262E-08
CD8 TEM,LINC01578,3.64388E-10,1.43675E-08
CD8 TEM,ASXL2,4.10104E-10,1.61432E-08
CD8 TEM,MIR3935,4.32366E-10,1.69913E-08
CD8 TEM,CDYL,4.38838E-10,1.72171E-08
CD8 TEM,ANKRD23,5.14756E-10,2.0129E-08
CD8 TEM,HIST1H4E,5.14756E-10,2.0129E-08
CD8 TEM,PDE7A,5.24507E-10,2.04765E-08
CD8 TEM,C21orf62-AS1,5.3575E-10,2.0881E-08
CD8 TEM,PERP,5.61795E-10,2.18602E-08
CD8 TEM,CCDC88C,5.88182E-10,2.28494E-08
CD8 TEM,KIAA0930,6.43075E-10,2.4941E-08
CD8 TEM,RIN3,7.82863E-10,3.03129E-08
CD8 TEM,NANS,9.37905E-10,3.6257E-08
CD8 TEM,RPA1,9.40654E-10,3.6304E-08
CD8 TEM,PDCL3,1.00441E-09,3.86386E-08
CD8 TEM,TROAP,1.00441E-09,3.86386E-08
CD8 TEM,LOC105376805,1.01325E-09,3.89155E-08
CD8 TEM,C9orf72,1.07889E-09,4.13696E-08
CD8 TEM,PAM,1.13317E-09,4.33808E-08
CD8 TEM,PRCC,1.33076E-09,5.0863E-08
CD8 TEM,TAAR2,1.39819E-09,5.33539E-08
CD8 TEM,PPP2R2D,1.57365E-09,5.99529E-08
CD8 TEM,SEPHS2,1.68872E-09,6.42335E-08
CD8 TEM,KLHDC4,1.72097E-09,6.53555E-08
CD8 TEM,LONRF2,1.99681E-09,7.57093E-08
CD8 TEM,KBTBD8,2.33156E-09,8.82605E-08
CD8 TEM,LOC100506725,2.35027E-09,8.88267E-08
CD8 TEM,ADAMTS8,2.61344E-09,9.86158E-08
CD8 TEM,MIR6124,2.62437E-09,9.88709E-08
CD8 TEM,MIR1228,2.70523E-09,1.01755E-07
CD8 TEM,IRF9,2.84589E-09,1.06877E-07
CD8 TEM,TMIGD1,2.94289E-09,1.10344E-07
CD8 TEM,CHD8,3.04714E-09,1.14073E-07
CD8 TEM,INTS6-AS1,3.11117E-09,1.16103E-07
CD8 TEM,EEF2,3.11117E-09,1.16103E-07
CD8 TEM,DCP1B,3.30137E-09,1.23007E-07
CD8 TEM,TIPARP,3.53055E-09,1.3134E-07
CD8 TEM,IL21R,3.59558E-09,1.33549E-07
CD8 TEM,GRK7,3.70059E-09,1.37235E-07
CD8 TEM,TEX264,3.70668E-09,1.37246E-07
CD8 TEM,MIR3148,3.74472E-09,1.38438E-07
CD8 TEM,LINC01762,3.97745E-09,1.46813E-07
CD8 TEM,TMBIM6,4.13116E-09,1.52249E-07
CD8 TEM,PRMT2,5.13818E-09,1.89067E-07
CD8 TEM,HNRNPA3,5.52471E-09,2.02975E-07
CD8 TEM,SGCE,5.58143E-09,2.04742E-07
CD8 TEM,TFCP2L1,5.66585E-09,2.07517E-07
CD8 TEM,SCD5,6.07555E-09,2.22179E-07
CD8 TEM,ANKRD13D,6.09526E-09,2.22557E-07
CD8 TEM,MRPL2,6.2143E-09,2.26554E-07
CD8 TEM,HKDC1,6.36681E-09,2.31758E-07
CD8 TEM,KRT71,6.91536E-09,2.51339E-07
CD8 TEM,NCK2,7.51629E-09,2.72762E-07
CD8 TEM,LINC01358,8.02424E-09,2.9075E-07
CD8 TEM,STARD5,8.31665E-09,3.00885E-07
CD8 TEM,CD96,8.87404E-09,3.20561E-07
CD8 TEM,USP33,9.13954E-09,3.29649E-07
CD8 TEM,FNDC9,9.33063E-09,3.3603E-07
CD8 TEM,LINC01714,1.001E-08,3.59951E-07
CD8 TEM,MIR5194,1.01082E-08,3.62929E-07
CD8 TEM,NABP1,1.062E-08,3.8073E-07
CD8 TEM,SBF1,1.12833E-08,4.03898E-07
CD8 TEM,SPAG6,1.17331E-08,4.19365E-07
CD8 TEM,FKBP11,1.19395E-08,4.261E-07
CD8 TEM,LSM11,1.21813E-08,4.34076E-07
CD8 TEM,MIR557,1.3494E-08,4.80132E-07
CD8 TEM,ADSS,1.37794E-08,4.89549E-07
CD8 TEM,SMARCE1,1.3811E-08,4.89937E-07
CD8 TEM,ARID3B,1.49191E-08,5.28458E-07
CD8 TEM,HHLA2,1.55991E-08,5.51721E-07
CD8 TEM,MNS1,1.65233E-08,5.82668E-07
CD8 TEM,MIR1238,1.65233E-08,5.82668E-07
CD8 TEM,LINC01537,1.65522E-08,5.82819E-07
CD8 TEM,CDC25C,1.71644E-08,6.03479E-07
CD8 TEM,CCDC134,1.74855E-08,6.13858E-07
CD8 TEM,CCNF,1.75552E-08,6.15392E-07
CD8 TEM,RPL31,1.90072E-08,6.65309E-07
CD8 TEM,CHST12,1.95289E-08,6.82561E-07
CD8 TEM,SUCO,2.0944E-08,7.30944E-07
CD8 TEM,LSM14A,2.11946E-08,7.38602E-07
CD8 TEM,PBK,2.29029E-08,7.96959E-07
CD8 TEM,MRPL55,2.3038E-08,8.00487E-07
CD8 TEM,THNSL2,2.36278E-08,8.19777E-07
CD8 TEM,SH2D2A,2.4553E-08,8.50631E-07
CD8 TEM,HLA-DOA,2.50941E-08,8.65581E-07
CD8 TEM,CFDP1,2.50941E-08,8.65581E-07
CD8 TEM,LINC01842,2.50941E-08,8.65581E-07
CD8 TEM,ZNF324,2.5731E-08,8.86262E-07
CD8 TEM,GPI,2.60698E-08,8.96626E-07
CD8 TEM,WIPF1,2.65064E-08,9.10323E-07
CD8 TEM,ING1,2.78205E-08,9.51315E-07
CD8 TEM,MPV17L2,2.78205E-08,9.51315E-07
CD8 TEM,YWHAB,2.78205E-08,9.51315E-07
CD8 TEM,S100P,3.14242E-08,1.073E-06
CD8 TEM,ZFPM1,3.25651E-08,1.11035E-06
CD8 TEM,SHC1,3.4875E-08,1.18576E-06
CD8 TEM,SEMA4C,3.48767E-08,1.18576E-06
CD8 TEM,HECTD4,3.54097E-08,1.20215E-06
CD8 TEM,LINC02245,3.64863E-08,1.23693E-06
CD8 TEM,KIF19,3.90518E-08,1.32201E-06
CD8 TEM,CD200R1L,4.97298E-08,1.68109E-06
CD8 TEM,SPOCK2,5.05976E-08,1.70799E-06
CD8 TEM,STAT1,5.06698E-08,1.708E-06
CD8 TEM,FADD,5.14022E-08,1.73022E-06
CD8 TEM,LUZP6,5.53336E-08,1.85992E-06
CD8 TEM,RAB11B-AS1,5.68472E-08,1.90808E-06
CD8 TEM,PABPC1,5.87172E-08,1.96806E-06
CD8 TEM,F2R,5.90246E-08,1.97557E-06
CD8 TEM,CLDND1,5.92863E-08,1.98154E-06
CD8 TEM,SMNDC1,6.36943E-08,2.12587E-06
CD8 TEM,FAM53B-AS1,6.93966E-08,2.31293E-06
CD8 TEM,SLC16A6,7.16371E-08,2.38425E-06
CD8 TEM,CARHSP1,7.19452E-08,2.39114E-06
CD8 TEM,SHISA2,7.51788E-08,2.49512E-06
CD8 TEM,ENTR1,7.84975E-08,2.60162E-06
CD8 TEM,FCGBP,7.9891E-08,2.6441E-06
CD8 TEM,EHD4,8.64259E-08,2.85639E-06
CD8 TEM,CYP11A1,8.71599E-08,2.87664E-06
CD8 TEM,MIR6776,8.89031E-08,2.93009E-06
CD8 TEM,PTGIS,9.35638E-08,3.07942E-06
CD8 TEM,ACOT9,9.64577E-08,3.17026E-06
CD8 TEM,ARHGAP26-AS1,1.0034E-07,3.29328E-06
CD8 TEM,HTR6,1.02194E-07,3.34952E-06
CD8 TEM,RAP1GAP2,1.02904E-07,3.36811E-06
CD8 TEM,PCDHGA1,1.04685E-07,3.42168E-06
CD8 TEM,EZR,1.13605E-07,3.70813E-06
CD8 TEM,LINC00324,1.17564E-07,3.83206E-06
CD8 TEM,SDF2L1,1.2654E-07,4.11899E-06
CD8 TEM,GZMA,1.29028E-07,4.19421E-06
CD8 TEM,LINC02405,1.37748E-07,4.47044E-06
CD8 TEM,HIVEP1,1.37903E-07,4.47044E-06
CD8 TEM,IRF2BP2,1.45955E-07,4.72498E-06
CD8 TEM,ASAP1-IT2,1.49893E-07,4.84585E-06
CD8 TEM,LINC00475,1.56113E-07,5.04006E-06
CD8 TEM,INSIG1,1.60584E-07,5.17736E-06
CD8 TEM,SURF4,1.61575E-07,5.20224E-06
CD8 TEM,SUCLG2-AS1,1.75473E-07,5.64204E-06
CD8 TEM,SLC14A2,1.78014E-07,5.71598E-06
CD8 TEM,MIR4743,1.80277E-07,5.78083E-06
CD8 TEM,RNASE4,1.83188E-07,5.86622E-06
CD8 TEM,KRTAP5-AS1,1.85301E-07,5.92589E-06
CD8 TEM,MGRN1,1.91345E-07,6.11093E-06
CD8 TEM,NMT1,1.92684E-07,6.1454E-06
CD8 TEM,DISP3,2.20207E-07,7.01376E-06
CD8 TEM,SAA1,2.30073E-07,7.31818E-06
CD8 TEM,SIPA1L2,2.35927E-07,7.49431E-06
CD8 TEM,LINC01599,2.38408E-07,7.563E-06
CD8 TEM,CHD1,2.45298E-07,7.77115E-06
CD8 TEM,IST1,2.64631E-07,8.36339E-06
CD8 TEM,RIPOR2,2.64698E-07,8.36339E-06
CD8 TEM,KANSL1-AS1,2.70327E-07,8.52987E-06
CD8 TEM,LOC101927358,2.73135E-07,8.60702E-06
CD8 TEM,ENPP6,2.88672E-07,9.08454E-06
CD8 TEM,DNAJC5B,2.9461E-07,9.25912E-06
CD8 TEM,ANKLE2,3.00886E-07,9.43494E-06
CD8 TEM,SPARCL1,3.01001E-07,9.43494E-06
CD8 TEM,WDCP,3.06784E-07,9.60352E-06
CD8 TEM,MED24,3.55965E-07,1.11284E-05
CD8 TEM,NEMP2,3.6779E-07,1.14829E-05
CD8 TEM,MRPL34,3.97881E-07,1.2406E-05
CD8 TEM,PHOSPHO1,4.03319E-07,1.25591E-05
CD8 TEM,ZNF558,4.1581E-07,1.2931E-05
CD8 TEM,RHOU,4.223E-07,1.31157E-05
CD8 TEM,LINC02182,4.3244E-07,1.3413E-05
CD8 TEM,STT3B,4.41398E-07,1.36729E-05
CD8 TEM,TBCA,4.72573E-07,1.46195E-05
CD8 TEM,GSTA4,5.05849E-07,1.56285E-05
CD8 TEM,PRKACB,5.16203E-07,1.59277E-05
CD8 TEM,DUSP4,5.37476E-07,1.65625E-05
CD8 TEM,RRAS2,5.41674E-07,1.66702E-05
CD8 TEM,LINC01511,5.42449E-07,1.66724E-05
CD8 TEM,KBTBD7,5.58589E-07,1.71462E-05
CD8 TEM,IFNG-AS1,5.67296E-07,1.7391E-05
CD8 TEM,PCBP1-AS1,5.84643E-07,1.78996E-05
CD8 TEM,AP3M2,5.87227E-07,1.79555E-05
CD8 TEM,GSTM4,6.02174E-07,1.83888E-05
CD8 TEM,EPRS,6.28193E-07,1.91587E-05
CD8 TEM,SCCPDH,7.09205E-07,2.16016E-05
CD8 TEM,PTTG2,7.20092E-07,2.1905E-05
CD8 TEM,MIR671,7.48863E-07,2.2751E-05
CD8 TEM,GML,7.62012E-07,2.31209E-05
CD8 TEM,LMO4,7.93988E-07,2.40603E-05
CD8 TEM,GHITM,8.97653E-07,2.71669E-05
CD8 TEM,MIR3691,9.53525E-07,2.8821E-05
CD8 TEM,TNFRSF13C,9.71574E-07,2.93292E-05
CD8 TEM,FAM131C,9.97004E-07,3.00585E-05
CD8 TEM,SNORD49A,1.01394E-06,3.05302E-05
CD8 TEM,PEBP4,1.02298E-06,3.07634E-05
CD8 TEM,MCOLN2,1.17632E-06,3.53297E-05
CD8 TEM,MIR1287,1.33205E-06,3.99565E-05
CD8 TEM,UPF1,1.35686E-06,4.06491E-05
CD8 TEM,TIMD4,1.36345E-06,4.07951E-05
CD8 TEM,GLE1,1.39403E-06,4.16574E-05
CD8 TEM,EGR1,1.40068E-06,4.18033E-05
CD8 TEM,ME2,1.49691E-06,4.46191E-05
CD8 TEM,LOC102723649,1.59706E-06,4.75446E-05
CD8 TEM,LBH,1.6587E-06,4.93178E-05
CD8 TEM,FOXE1,1.67767E-06,4.98191E-05
CD8 TEM,SGIP1,1.71419E-06,5.08399E-05
CD8 TEM,ZNF827,1.73399E-06,5.13629E-05
CD8 TEM,IFIT2,1.75714E-06,5.19838E-05
CD8 TEM,STARD3NL,1.85643E-06,5.48527E-05
CD8 TEM,LOC439933,1.86219E-06,5.49544E-05
CD8 TEM,MMS19,1.92471E-06,5.67286E-05
CD8 TEM,LINC01933,2.05636E-06,6.05335E-05
CD8 TEM,MIR152,2.069E-06,6.07547E-05
CD8 TEM,MRPS23,2.069E-06,6.07547E-05
CD8 TEM,VPS9D1-AS1,2.11122E-06,6.19179E-05
CD8 TEM,CDC14A,2.11649E-06,6.19957E-05
CD8 TEM,PRDM1,2.14791E-06,6.28012E-05
CD8 TEM,AP1M1,2.14929E-06,6.28012E-05
CD8 TEM,NFATC3,2.27285E-06,6.63297E-05
CD8 TEM,SLC35G6,2.3664E-06,6.89749E-05
CD8 TEM,GHET1,2.38848E-06,6.94476E-05
CD8 TEM,SH2D7,2.38848E-06,6.94476E-05
CD8 TEM,WDR45,2.42992E-06,7.05658E-05
CD8 TEM,KIAA1109,2.45929E-06,7.13269E-05
CD8 TEM,MYH9,2.46214E-06,7.13269E-05
CD8 TEM,C22orf15,2.46909E-06,7.14409E-05
CD8 TEM,MIR2277,2.91663E-06,8.42872E-05
CD8 TEM,PRR3,2.96887E-06,8.56921E-05
CD8 TEM,ZNF780A,2.97805E-06,8.58526E-05
CD8 TEM,XG,3.26205E-06,9.39255E-05
CD8 TEM,MCUB,3.37395E-06,9.70296E-05
CD8 TEM,SLC1A4,3.44902E-06,9.90683E-05
CD8 TEM,LRRC8A,3.53624E-06,0.000101451
CD8 TEM,IL32,3.61602E-06,0.000103614
CD8 TEM,LINC00239,3.66046E-06,0.000104761
CD8 TEM,RDH10-AS1,3.79334E-06,0.000108433
CD8 TEM,P4HTM,3.87605E-06,0.000110663
CD8 TEM,CCDC25,3.96645E-06,0.000113108
CD8 TEM,TMEM169,4.01899E-06,0.000114469
CD8 TEM,RTN2,4.09836E-06,0.000116589
CD8 TEM,MCOLN3,4.13738E-06,0.000117447
CD8 TEM,PTP4A2,4.13843E-06,0.000117447
CD8 TEM,UTRN,4.20195E-06,0.000119107
CD8 TEM,LINC00271,4.21948E-06,0.000119461
CD8 TEM,PAPSS1,4.41719E-06,0.00012491
CD8 TEM,APOBEC3H,4.46188E-06,0.000126023
CD8 TEM,NBPF9,4.59961E-06,0.000129758
CD8 TEM,COG7,4.7148E-06,0.000132648
CD8 TEM,TIRAP,4.72171E-06,0.000132648
CD8 TEM,EHD1,4.72325E-06,0.000132648
CD8 TEM,BCL2L13,4.72445E-06,0.000132648
CD8 TEM,PTTG1IP,4.90975E-06,0.000137688
CD8 TEM,LAPTM5,4.95099E-06,0.00013868
CD8 TEM,MIR4473,5.08128E-06,0.000142162
CD8 TEM,LMNA,5.37672E-06,0.00015025
CD8 TEM,KNCN,5.54814E-06,0.000154858
CD8 TEM,ZNF333,5.6123E-06,0.000156464
CD8 TEM,FLJ42351,6.4866E-06,0.000180626
CD8 TEM,C9orf66,6.54783E-06,0.000182117
CD8 TEM,SOWAHD,6.64703E-06,0.00018466
CD8 TEM,CAMK2G,6.71159E-06,0.000186235
CD8 TEM,RAI1,6.84635E-06,0.000189752
CD8 TEM,NFATC2,7.156E-06,0.000198103
CD8 TEM,AFTPH,7.48303E-06,0.000206192
CD8 TEM,ABCF2,7.48303E-06,0.000206192
CD8 TEM,PPP6C,7.48303E-06,0.000206192
CD8 TEM,C17orf107,7.48303E-06,0.000206192
CD8 TEM,TOGARAM2,7.72267E-06,0.000212548
CD8 TEM,MIR3679,8.07062E-06,0.000221642
CD8 TEM,NYNRIN,8.07179E-06,0.000221642
CD8 TEM,AFAP1,8.28896E-06,0.000227342
CD8 TEM,IKZF3,8.42312E-06,0.000230755
CD8 TEM,LINC01262,8.46077E-06,0.000231518
CD8 TEM,FCER2,9.15632E-06,0.000250216
CD8 TEM,CNNM2,9.16518E-06,0.000250216
CD8 TEM,ANKRD44-IT1,9.48806E-06,0.000258732
CD8 TEM,SYNRG,9.66071E-06,0.000263138
CD8 TEM,SGCD,9.86356E-06,0.000268354
CD8 TEM,HCN4,9.91195E-06,0.000269362
CD8 TEM,TTYH3,1.01704E-05,0.000276069
CD8 TEM,FBXO5,1.02593E-05,0.000278162
CD8 TEM,MIR4254,1.03432E-05,0.000280117
CD8 TEM,TMEM245,1.03584E-05,0.000280208
CD8 TEM,WISP1,1.05075E-05,0.000283918
CD8 TEM,B4GALNT3,1.05917E-05,0.000285868
CD8 TEM,ZNF316,1.07039E-05,0.000288566
CD8 TEM,KAT6B,1.11192E-05,0.000299422
CD8 TEM,ITLN1,1.16912E-05,0.000314467
CD8 TEM,FDX1,1.17573E-05,0.000315887
CD8 TEM,HEXB,1.17848E-05,0.000316267
CD8 TEM,AGBL1-AS1,1.29763E-05,0.00034785
CD8 TEM,BNIPL,1.32057E-05,0.000353199
CD8 TEM,HTT,1.32057E-05,0.000353199
CD8 TEM,TCF7,1.32235E-05,0.000353276
CD8 TEM,CELF2-AS1,1.32574E-05,0.000353784
CD8 TEM,EXT1,1.36509E-05,0.000363875
CD8 TEM,KHK,1.38057E-05,0.000366764
CD8 TEM,BDP1,1.38057E-05,0.000366764
CD8 TEM,FKBP4,1.38057E-05,0.000366764
CD8 TEM,DENND1B,1.41969E-05,0.000376735
CD8 TEM,SYTL2,1.46215E-05,0.000387569
CD8 TEM,MIR3918,1.51244E-05,0.00040045
CD8 TEM,ZNF845,1.60441E-05,0.000424327
CD8 TEM,IQGAP2,1.75762E-05,0.000464329
CD8 TEM,SLC17A5,1.83872E-05,0.000485213
CD8 TEM,NOP56,1.85435E-05,0.000488793
CD8 TEM,UPK2,1.92349E-05,0.000506455
CD8 TEM,IFNG,1.95378E-05,0.000513859
CD8 TEM,SLC14A1,1.96484E-05,0.000516195
CD8 TEM,SNX18,2.03291E-05,0.000533488
CD8 TEM,FZR1,2.19429E-05,0.000574812
CD8 TEM,AHDC1,2.19524E-05,0.000574812
CD8 TEM,DDX60L,2.30419E-05,0.00060263
CD8 TEM,MIR3166,2.30656E-05,0.00060263
CD8 TEM,IPO4,2.45927E-05,0.000641662
CD8 TEM,LINC01145,2.46137E-05,0.000641662
CD8 TEM,ERGIC1,2.47853E-05,0.000645427
CD8 TEM,QPRT,2.50574E-05,0.000651796
CD8 TEM,NR4A2,2.58103E-05,0.000670642
CD8 TEM,LINC01331,2.61776E-05,0.000679378
CD8 TEM,MIR4309,2.62038E-05,0.000679378
CD8 TEM,PRSS1,2.66644E-05,0.000690565
CD8 TEM,MIR1256,2.6999E-05,0.000698466
CD8 TEM,LOC101928461,2.72016E-05,0.000702941
CD8 TEM,MIR4671,2.83705E-05,0.000732349
CD8 TEM,NRGN,2.91999E-05,0.000752939
CD8 TEM,KLRD1,3.03174E-05,0.000780903
CD8 TEM,TMEM30B,3.08054E-05,0.000792612
CD8 TEM,SLC1A1,3.10615E-05,0.000798335
CD8 TEM,SRRM2,3.10959E-05,0.000798354
CD8 TEM,NMB,3.124E-05,0.000800504
CD8 TEM,ARHGEF6,3.12792E-05,0.000800504
CD8 TEM,UBAC2-AS1,3.1281E-05,0.000800504
CD8 TEM,ACSBG1,3.13805E-05,0.000802182
CD8 TEM,RAN,3.19217E-05,0.000815139
CD8 TEM,MIR6855,3.22603E-05,0.000822899
CD8 TEM,LYSMD3,3.29042E-05,0.000838421
CD8 TEM,ATP10A,3.35712E-05,0.000854498
CD8 TEM,ARL4A,3.37005E-05,0.000856867
CD8 TEM,CEP350,3.39329E-05,0.000861852
CD8 TEM,FAM83D,3.41145E-05,0.000865537
CD8 TEM,CASP12,3.43034E-05,0.000869399
CD8 TEM,IL21,3.5082E-05,0.000888183
CD8 TEM,TSN,3.58391E-05,0.000906382
CD8 TEM,PROKR2,3.62437E-05,0.000915636
CD8 TEM,CEP76,3.63718E-05,0.000917895
CD8 TEM,ENPP5,3.65688E-05,0.000921883
CD8 TEM,CEP250,3.71806E-05,0.000936312
CD8 TEM,LOC101929719,3.74829E-05,0.000942923
CD8 TEM,UTAT33,3.79235E-05,0.000952994
CD8 TEM,UBE2T,3.88816E-05,0.000976036
CD8 TEM,SUSD1,3.91516E-05,0.000980734
CD8 TEM,SAXO2,3.91516E-05,0.000980734
CD8 TEM,PA2G4,4.04434E-05,0.001012024
CD8 TEM,MANEA,4.07537E-05,0.001018714
CD8 TEM,ARMC2-AS1,4.30529E-05,0.00107438
CD8 TEM,STK11,4.30713E-05,0.00107438
CD8 TEM,PCM1,4.32685E-05,0.001078163
CD8 TEM,DLEU1-AS1,4.36609E-05,0.001086798
CD8 TEM,FYN,4.39358E-05,0.001092493
CD8 TEM,CAMLG,4.44092E-05,0.001101953
CD8 TEM,UBR5,4.44092E-05,0.001101953
CD8 TEM,PRDM13,4.4942E-05,0.001114007
CD8 TEM,LINC02611,4.57335E-05,0.001132443
CD8 TEM,XCL2,4.59878E-05,0.001137549
CD8 TEM,UBASH3A,4.75999E-05,0.001176199
CD8 TEM,ATG4B,4.94729E-05,0.001221208
CD8 TEM,MYO1F,5.17668E-05,0.001275272
CD8 TEM,RNF149,5.17708E-05,0.001275272
CD8 TEM,MIR4277,5.1945E-05,0.001278234
CD8 TEM,PRKCQ,5.26574E-05,0.001294421
CD8 TEM,CCDC115,5.40275E-05,0.001326726
CD8 TEM,MIR4492,5.5647E-05,0.001365079
CD8 TEM,MIR3692,5.80654E-05,0.001422932
CD8 TEM,MIR548S,5.92592E-05,0.001450688
CD8 TEM,LOC101927932,5.98193E-05,0.001462889
CD8 TEM,KANSL1,6.00859E-05,0.001467893
CD8 TEM,SYNE1-AS1,6.07637E-05,0.001482922
CD8 TEM,PRDM14,6.14205E-05,0.001497409
CD8 TEM,E2F7,6.44983E-05,0.00157083
CD8 TEM,CDH2,6.64129E-05,0.001615797
CD8 TEM,ZGRF1,7.00975E-05,0.001703693
CD8 TEM,EMX1,7.08947E-05,0.001721304
CD8 TEM,MIR568,7.17801E-05,0.001741017
CD8 TEM,LCP1,7.39946E-05,0.001792438
CD8 TEM,ADAP1,7.40514E-05,0.001792438
CD8 TEM,LTF,7.42097E-05,0.001794435
CD8 TEM,LOC101927543,7.51082E-05,0.001814041
CD8 TEM,PRPH2,7.53267E-05,0.001814041
CD8 TEM,TRPM7,7.53267E-05,0.001814041
CD8 TEM,ZNF48,7.53267E-05,0.001814041
CD8 TEM,GLYCTK,7.56332E-05,0.001819573
CD8 TEM,ABCF1,7.68998E-05,0.001848168
CD8 TEM,SMARCC2,7.75307E-05,0.00185956
CD8 TEM,COQ10A,7.75307E-05,0.00185956
CD8 TEM,MLEC,7.76637E-05,0.001860866
CD8 TEM,SATB1-AS1,8.2239E-05,0.001968502
CD8 TEM,ATRIP,8.25828E-05,0.001974736
CD8 TEM,NINJ2,8.35252E-05,0.001995259
CD8 TEM,CDKN3,8.51625E-05,0.002032322
CD8 TEM,B3GAT1,8.59179E-05,0.002048287
CD8 TEM,ABCG1,8.60835E-05,0.002050171
CD8 TEM,ARHGAP25,8.70269E-05,0.002070558
CD8 TEM,MIR4744,9.04629E-05,0.00215015
CD8 TEM,RARA,9.32242E-05,0.00221289
CD8 TEM,AKNA,9.32893E-05,0.00221289
CD8 TEM,LOC105377924,9.40085E-05,0.00222772
CD8 TEM,MPZL3,9.77336E-05,0.00231368
